0,1,2,3,4,Class
715,270,387,179,213,0
543,444,497,60,220,0
498,383,482,91,310,0
1511,25,92,97,39,0
704,265,384,179,232,0
1032,137,258,157,180,0
804,314,334,124,188,0
1062,133,251,187,131,0
757,205,416,177,209,0
790,148,380,222,224,0
648,285,428,142,261,0
739,325,397,118,185,0
563,325,462,85,329,0
1127,147,220,142,128,0
941,178,253,247,145,0
658,369,431,102,204,0
564,366,492,92,250,0
539,329,491,87,318,0
774,297,354,136,203,0
1173,104,230,133,124,0
750,218,379,141,276,0
834,106,409,230,185,0
608,324,475,118,239,0
473,372,504,92,323,0
833,141,359,259,172,0
1135,117,229,173,110,0
775,194,352,166,277,0
393,422,520,53,376,0
605,295,470,100,294,0
672,292,445,148,207,0
690,246,433,176,219,0
764,414,275,84,227,0
354,407,535,44,424,0
938,177,268,234,147,0
360,354,578,83,389,0
370,392,599,55,348,0
576,351,482,106,249,0
646,290,423,151,254,0
924,213,305,124,198,0
669,220,448,159,268,0
581,314,466,124,279,0
644,348,398,98,276,0
338,381,533,80,432,0
302,412,596,45,409,0
717,288,387,141,231,0
715,212,424,166,247,0
499,340,499,128,298,0
733,225,405,189,212,0
667,275,402,160,260,0
904,174,274,256,156,0
518,341,504,75,326,0
722,189,439,186,228,0
503,332,477,69,383,0
556,281,483,138,306,0
696,272,400,129,267,0
905,203,267,226,163,0
519,307,520,113,305,0
543,317,481,105,318,0
897,168,335,188,176,0
410,349,569,81,355,0
511,278,530,93,352,0
654,167,502,169,272,0
1062,136,239,170,157,0
856,163,365,251,129,0
672,176,495,170,251,0
576,286,467,145,290,0
431,342,515,96,380,0
533,327,480,122,302,0
990,116,250,245,163,0
831,171,362,202,198,0
765,189,407,196,207,0
456,336,460,99,413,0
316,402,611,59,376,0
894,238,306,184,142,0
421,457,511,42,333,0
616,260,449,150,289,0
358,402,580,69,355,0
304,405,603,51,401,0
652,309,426,129,248,0
1211,88,157,213,95,0
730,225,404,196,209,0
866,202,303,225,168,0
897,216,299,170,182,0
731,219,420,160,234,0
716,270,379,156,243,0
867,236,270,191,200,0
878,212,349,129,196,0
715,253,411,140,245,0
781,294,355,157,177,0
359,419,587,46,353,0
927,191,287,184,175,0
380,394,522,50,418,0
685,304,389,140,246,0
514,441,437,54,318,0
874,227,286,198,179,0
857,250,332,178,147,0
729,175,426,192,242,0
791,262,384,125,202,0
568,473,461,46,216,0
648,356,402,111,247,0
797,274,363,137,193,0
650,333,421,125,235,0
946,129,320,227,142,0
857,250,297,194,166,0
315,438,591,53,367,0
600,330,465,134,235,0
677,351,400,110,226,0
287,426,619,30,402,0
724,290,378,158,214,0
847,260,311,174,172,0
337,428,538,32,429,0
713,266,387,149,249,0
643,346,391,95,289,0
324,424,553,48,415,0
707,269,407,154,227,0
808,221,377,197,161,0
635,328,419,118,264,0
805,231,351,151,226,0
425,438,520,49,332,0
1034,116,208,278,128,0
473,380,497,77,337,0
741,246,410,105,262,0
660,308,394,143,259,0
651,200,469,174,270,0
643,229,491,184,217,0
494,389,521,80,280,0
848,196,329,220,171,0
612,355,427,105,265,0
708,215,413,140,288,0
737,243,391,147,246,0
780,248,391,159,186,0
754,219,392,193,206,0
594,291,462,118,299,0
514,344,488,107,311,0
832,214,332,182,204,0
841,194,394,191,144,0
608,330,448,68,310,0
566,290,509,148,251,0
574,342,453,105,290,0
880,158,362,166,198,0
587,403,412,90,272,0
788,177,382,194,223,0
525,334,500,108,297,0
1336,60,117,174,77,0
690,274,392,169,239,0
758,271,365,160,210,0
902,143,346,259,114,0
735,181,422,204,222,0
901,155,353,191,164,0
544,386,458,86,290,0
657,286,443,94,284,0
672,277,445,120,250,0
761,254,398,153,198,0
588,246,502,152,276,0
383,405,589,54,333,0
570,318,500,122,254,0
831,219,360,150,204,0
740,275,325,115,309,0
534,331,457,107,335,0
773,203,413,193,182,0
775,262,360,163,204,0
538,385,475,73,293,0
753,217,408,201,185,0
670,241,448,177,228,0
576,427,439,67,255,0
837,188,333,226,180,0
401,367,546,89,361,0
613,248,479,172,252,0
1211,101,153,197,102,0
288,440,608,35,393,0
547,335,475,103,304,0
856,206,356,162,184,0
543,193,443,155,430,0
750,216,389,122,287,0
641,304,415,141,263,0
1020,83,272,251,138,0
579,312,425,88,360,0
430,386,505,69,374,0
1004,132,262,260,106,0
867,200,299,220,178,0
973,168,298,144,181,0
875,228,316,155,190,0
577,319,451,106,311,0
588,338,466,121,251,0
543,396,464,76,285,0
568,363,440,98,295,0
643,334,462,126,199,0
718,301,390,124,231,0
884,183,310,205,182,0
799,251,355,163,196,0
