0,1,2,3,4,Class
1060,133,253,230,88,1
807,252,316,202,187,1
713,277,417,147,210,1
876,195,366,125,202,1
392,450,530,36,356,1
599,369,464,89,243,1
695,294,443,130,202,1
665,271,442,99,287,1
789,229,386,176,184,1
735,239,421,165,204,1
907,211,288,136,222,1
788,265,291,174,246,1
475,347,530,102,310,1
411,386,562,74,331,1
398,416,530,40,380,1
606,315,486,105,252,1
614,330,443,116,261,1
784,221,381,193,185,1
232,405,573,39,515,1
657,274,432,156,245,1
818,203,319,147,277,1
440,340,525,100,359,1
504,415,471,78,296,1
629,333,413,113,276,1
368,374,553,77,392,1
418,351,548,91,356,1
328,323,589,104,420,1
243,429,606,42,444,1
539,314,478,121,312,1
409,382,531,96,346,1
582,279,461,104,338,1
719,271,396,161,217,1
409,336,515,94,410,1
827,221,362,172,182,1
493,362,482,84,343,1
890,223,321,163,167,1
632,309,445,145,233,1
409,346,484,73,452,1
847,168,331,244,174,1
771,209,377,218,189,1
473,347,539,85,320,1
514,331,532,99,288,1
272,366,602,75,449,1
482,378,490,89,325,1
613,331,411,125,284,1
255,422,590,27,470,1
423,376,552,87,326,1
230,412,622,24,476,1
526,299,461,83,395,1
654,259,429,104,318,1
585,362,430,85,302,1
321,465,497,22,459,1
480,344,495,98,347,1
894,186,339,173,172,1
996,137,239,246,146,1
631,257,431,161,284,1
326,401,601,50,386,1
310,447,583,36,388,1
637,344,427,113,243,1
339,330,563,114,418,1
443,394,484,76,367,1
602,250,480,176,256,1
513,370,490,89,302,1
792,242,324,196,210,1
474,344,530,81,335,1
348,388,578,61,389,1
412,353,581,81,337,1
837,230,322,203,172,1
530,285,505,159,285,1
469,330,527,110,328,1
793,250,343,181,197,1
707,283,412,136,226,1
398,393,540,60,373,1
836,145,385,227,171,1
517,303,472,125,347,1
115,359,674,40,576,1
491,324,505,117,327,1
999,138,287,241,99,1
377,422,514,50,401,1
644,249,488,178,205,1
350,406,554,50,404,1
676,358,390,115,225,1
538,374,461,72,319,1
524,357,494,113,276,1
666,268,420,130,280,1
543,315,490,118,298,1
719,305,367,100,273,1
443,312,548,108,353,1
581,277,469,138,299,1
395,396,580,79,314,1
375,341,552,101,395,1
795,201,387,166,215,1
475,354,474,73,388,1
465,419,479,46,355,1
321,381,598,57,407,1
731,180,421,202,230,1
628,255,449,166,266,1
491,436,490,55,292,1
474,401,489,60,340,1
645,298,448,156,217,1
495,315,505,105,344,1
676,205,414,225,244,1
529,411,473,70,281,1
592,310,454,127,281,1
572,434,409,53,296,1
649,305,365,142,303,1
609,305,428,123,299,1
728,257,373,184,222,1
594,359,464,88,259,1
521,432,454,59,298,1
118,457,676,17,496,1
689,257,409,173,236,1
815,171,377,202,199,1
634,310,413,150,257,1
156,444,617,16,531,1
736,249,410,146,223,1
497,475,363,28,401,1
946,210,308,109,191,1
482,312,550,112,308,1
354,393,561,62,394,1
448,443,491,58,324,1
866,179,317,233,169,1
175,406,649,34,500,1
805,239,322,188,210,1
553,342,481,123,265,1
