0,1,2,3,4,Class
881,107,370,231,175,2
801,220,358,145,240,2
767,138,465,218,176,2
879,175,326,232,152,2
698,246,413,157,250,2
641,309,427,113,274,2
851,183,372,167,191,2
1075,149,233,171,136,2
810,211,369,181,193,2
617,336,421,92,298,2
696,387,334,94,253,2
868,167,351,194,184,2
1041,150,266,156,151,2
585,217,540,157,265,2
887,155,335,223,164,2
1256,99,186,123,100,2
678,284,399,102,301,2
738,171,433,193,229,2
890,164,349,180,181,2
965,173,285,197,144,2
560,307,498,94,305,2
863,218,329,178,176,2
512,405,487,70,290,2
990,136,308,198,132,2
904,246,300,125,189,2
1019,165,257,165,158,2
1017,133,280,200,134,2
1004,248,249,108,155,2
773,220,391,173,207,2
628,322,417,127,270,2
353,449,564,49,349,2
460,379,522,76,327,2
768,179,418,190,209,2
813,200,341,246,164,2
906,110,346,246,156,2
729,249,415,160,211,2
415,368,565,91,325,2
507,366,456,105,330,2
686,364,342,112,260,2
518,303,535,90,318,2
694,339,304,136,291,2
1031,101,268,212,152,2
971,130,315,227,121,2
924,149,286,251,154,2
610,166,562,212,214,2
438,364,480,100,382,2
1201,100,212,160,91,2
709,249,410,152,244,2
1045,161,249,161,148,2
819,128,354,263,200,2
892,207,339,131,195,2
1040,52,336,198,138,2
993,194,275,144,158,2
574,281,432,102,375,2
562,249,419,84,450,2
941,146,298,198,181,2
938,198,293,167,168,2
359,421,494,51,439,2
885,113,364,251,151,2
875,170,333,199,187,2
1001,118,319,179,147,2
393,462,491,35,383,2
875,189,345,152,203,2
116,360,545,15,728,2
704,268,390,165,237,2
387,477,541,40,319,2
561,408,426,93,276,2
608,358,419,104,275,2
1076,157,216,177,138,2
871,179,366,177,171,2
472,376,473,66,377,2
610,407,406,70,271,2
886,189,288,229,172,2
960,131,303,209,161,2
463,311,537,96,357,2
708,264,414,121,257,2
411,267,619,120,347,2
670,254,473,161,206,2
788,187,411,184,194,2
507,340,512,110,295,2
359,320,621,88,376,2
488,322,484,90,380,2
793,198,383,191,199,2
378,381,520,86,399,2
328,422,538,56,420,2
705,306,401,137,215,2
449,315,505,115,380,2
943,148,311,200,162,2
638,241,450,147,288,2
740,281,401,124,218,2
1077,137,215,204,131,2
769,229,395,177,194,2
668,200,490,193,213,2
871,99,394,220,180,2
868,204,307,193,192,2
676,283,382,171,252,2
918,106,322,225,193,2
864,147,399,197,157,2
744,185,419,168,248,2
655,276,469,138,226,2
261,393,580,51,479,2
511,350,503,74,326,2
421,297,522,112,412,2
939,182,269,216,158,2
524,446,442,64,288,2
859,182,321,205,197,2
907,138,320,226,173,2
1002,139,295,205,123,2
643,243,455,154,269,2
917,155,321,211,160,2
205,413,617,30,499,2
368,293,490,102,511,2
930,114,386,219,115,2
289,428,556,60,431,2
850,194,324,229,167,2
539,403,421,81,320,2
718,204,429,190,223,2
680,289,421,127,247,2
495,430,487,65,287,2
1105,146,275,118,120,2
670,260,423,151,260,2
524,425,435,50,330,2
801,264,319,171,209,2
705,274,420,144,221,2
616,286,439,138,285,2
369,453,525,30,387,2
873,205,352,187,147,2
940,206,328,90,200,2
775,259,372,148,210,2
1069,175,230,129,161,2
538,396,473,86,271,2
482,488,481,31,282,2
1124,141,194,158,147,2
617,280,429,152,286,2
740,194,447,172,211,2
697,295,424,127,221,2
535,331,441,109,348,2
956,184,275,199,150,2
1085,138,241,159,141,2
303,469,519,18,455,2
734,249,400,138,243,2
330,360,599,67,408,2
544,355,491,93,281,2
1161,96,245,147,115,2
684,256,445,147,232,2
561,369,444,80,310,2
593,331,481,91,268,2
774,234,394,177,185,2
395,364,556,71,378,2
860,283,232,185,204,2
495,346,519,91,313,2
1051,134,264,199,116,2
580,394,406,94,290,2
470,394,500,65,335,2
749,222,408,160,225,2
813,246,320,194,191,2
943,153,295,213,160,2
597,337,410,122,298,2
867,182,317,188,210,2
793,202,387,199,183,2
1059,191,226,132,156,2
983,160,308,167,146,2
1003,166,242,196,157,2
555,343,492,107,267,2
884,185,324,191,180,2
994,149,272,116,233,2
755,195,411,191,212,2
1084,138,229,184,129,2
1047,177,259,131,150,2
806,176,387,198,197,2
809,287,292,165,211,2
1049,180,264,119,152,2
750,187,413,133,281,2
730,286,411,170,167,2
951,237,272,142,162,2
1247,101,203,110,103,2
949,243,265,148,159,2
717,315,373,110,249,2
520,271,503,124,346,2
1110,48,235,234,137,2
783,262,348,169,202,2
921,215,268,179,181,2
898,147,327,208,184,2
1017,121,282,202,142,2
973,187,232,222,150,2
506,385,492,85,296,2
1174,132,190,153,115,2
330,310,573,72,479,2
1163,121,176,183,121,2
654,312,415,99,284,2
823,233,329,161,218,2
784,204,420,155,201,2
395,389,570,62,348,2
532,335,479,114,304,2
994,197,276,187,110,2
995,132,293,178,166,2
744,193,387,196,244,2
362,427,534,51,390,2
827,199,356,186,196,2
551,344,474,105,290,2
464,398,487,73,342,2
701,261,410,149,243,2
